Electronic Appendix 4: XRF (major element; weight percent) and solution ICP-MS (trace element; parts per million) whole rock geochemical data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,AMB-2,AMB-2#,AMB-3,AMB-4,AMB-5,AMB-5#,AMB-5*,AMB-6,AMB-7,AMB-8,AMB-9,AMB-9#,AMB-10,AMB-11,AMB-13,AMB-14,AMB-16,AMB-17,AMB-18,AMB-19,AMB-20,AMB-21,AMB-22,AMB-23,AMB-24,AMB-26,AMB-27,AMB-28,AMB-29,AMB-30,AMB-31,AMB-33,AMB-35,AMB-36,AMB-37,AMB-38,AMB-39,AMB-40,AMB-41,AMB-42,AMB-43,AMB-44,AMB-46,AMB-47,AMB-48,AMB-49,AMB-51,AMB-52,AMB-53,AMB-54,AMB-54#,AMC-5,AMC-5#,AMC-8,AMC-9,AMF-6,AMG-3,AMG-5,AMG-7,AMG-8,AMG-8#,AMG-9,AMG-10,AMG-10#,AMG-11,TL-1,
Rock type:,bas,,bas,bas,bas,,,bas,bas,bas,bas,,pbas,bas,basn,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,bas,tbas,bas,bas,tbas,bas,bas,bas,bas,bas,bas,bas,bas,bas,pbas,tbas,btand,,bas,,bas,bas,bas,bas,bas,bas,bas,,bas,btand,,bas,pbas,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major element analyses (XRF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiO2  (wt %),46.38,,45.92,45.62,45.51,,,45.48,45.87,46.19,45.80,,44.65,45.93,44.49,46.69,45.46,46.20,45.73,46.45,46.56,45.40,45.18,45.71,45.05,45.86,45.90,45.59,46.09,46.32,47.58,46.07,45.62,45.18,48.27,46.01,44.62,49.94,46.93,46.71,47.54,47.12,45.70,45.23,47.22,45.68,45.75,44.95,46.28,52.29,,45.62,,,46.41,47.01,45.53,,,45.40,,,56.50,,,44.18,
TiO2,3.81,,3.76,4.07,2.85,,,2.77,2.78,3.41,4.23,,2.37,3.86,3.82,3.77,2.79,4.01,2.98,3.91,2.86,4.17,2.44,3.90,4.25,3.04,4.47,3.74,3.96,4.19,3.32,4.19,4.12,4.63,4.49,3.38,3.29,3.39,3.29,4.50,4.13,4.37,4.14,4.15,3.77,4.12,4.25,3.59,3.62,2.67,,3.78,,,3.17,3.48,3.56,,,3.12,,,2.14,,,3.23,
Al2O3,11.84,,11.73,12.70,8.96,,,8.70,9.09,11.33,13.32,,7.49,12.76,11.51,13.03,8.56,12.43,9.33,13.11,9.36,13.20,7.80,12.87,13.46,9.64,14.52,11.97,13.49,14.14,11.86,13.68,13.09,13.96,15.06,11.33,9.14,15.42,11.89,14.53,13.66,14.86,13.33,13.59,13.90,12.87,13.89,10.74,15.83,14.47,,12.72,,,10.50,15.25,11.31,,,9.52,,,16.07,,,9.18,
Fe2O3,13.95,,13.63,14.31,12.78,,,13.07,12.53,12.49,13.82,,13.36,13.69,14.49,14.08,12.83,14.00,13.11,13.36,12.94,13.95,13.19,13.89,15.17,13.05,14.03,13.60,13.48,14.04,12.88,14.51,14.47,14.63,12.29,13.19,13.91,12.66,12.85,13.35,12.76,12.71,13.82,14.30,13.41,13.94,14.38,13.42,12.16,10.89,,13.36,,,12.87,11.69,13.75,,,13.06,,,10.11,,,13.68,
MnO,0.17,,0.16,0.20,0.17,,,0.17,0.16,0.15,0.16,,0.18,0.18,0.18,0.18,0.17,0.19,0.17,0.17,0.15,0.18,0.17,0.18,0.20,0.17,0.16,0.18,0.19,0.19,0.17,0.20,0.20,0.19,0.14,0.17,0.17,0.11,0.16,0.21,0.28,0.21,0.21,0.19,0.19,0.18,0.19,0.18,0.25,0.15,,0.17,,,0.16,0.14,0.18,,,0.17,,,0.13,,,0.17,
MgO,7.53,,7.63,7.22,13.81,,,15.26,15.16,10.19,7.02,,17.79,8.56,9.90,6.41,14.55,7.02,13.27,7.64,13.01,7.04,18.42,7.87,5.81,12.96,5.59,9.72,6.23,5.27,8.65,5.12,6.17,5.45,4.26,10.78,14.17,3.73,10.94,5.48,5.94,5.18,7.62,6.79,6.39,7.64,6.30,11.45,5.12,5.24,,7.60,,,12.05,6.14,10.82,,,13.02,,,2.07,,,13.13,
CaO,12.51,,13.36,11.80,13.16,,,12.10,11.84,13.09,11.28,,12.02,10.49,11.47,11.04,13.04,12.04,12.70,11.25,12.57,11.50,10.67,11.14,11.22,12.40,10.22,10.67,11.11,10.64,11.14,11.07,11.52,10.96,9.60,11.20,12.18,8.33,10.02,9.91,10.34,9.98,10.71,11.13,9.58,11.17,10.33,12.26,10.26,7.67,,12.43,,,11.59,12.36,11.34,,,12.83,,,6.13,,,13.56,
Na2O,2.21,,2.20,2.22,1.60,,,1.37,1.50,1.79,2.63,,1.21,2.39,2.35,2.76,1.53,2.36,1.50,2.33,1.45,2.42,1.18,2.42,2.68,1.64,2.71,2.67,3.06,2.95,2.64,2.82,2.76,2.78,3.28,2.18,1.43,3.59,2.33,2.93,2.89,2.99,2.31,2.57,2.93,2.28,2.64,1.84,2.81,3.66,,2.19,,,1.84,2.58,1.93,,,1.62,,,3.75,,,1.52,
K2O,1.05,,1.06,1.23,0.78,,,0.72,0.73,0.92,1.01,,0.62,1.43,1.02,1.41,0.70,1.16,0.80,1.19,0.75,1.41,0.62,1.35,1.41,0.83,1.60,1.27,1.59,1.55,1.23,1.58,1.37,1.49,1.74,1.17,0.71,2.06,1.12,1.63,1.67,1.74,1.42,1.36,1.81,1.42,1.53,0.98,2.51,2.28,,1.32,,,0.87,0.87,0.91,,,0.84,,,2.47,,,0.85,
P2O5,0.55,,0.54,0.63,0.39,,,0.37,0.33,0.44,0.72,,0.32,0.70,0.77,0.63,0.36,0.59,0.41,0.60,0.34,0.72,0.34,0.69,0.74,0.41,0.79,0.59,0.79,0.74,0.53,0.77,0.69,0.74,0.87,0.60,0.39,0.76,0.47,0.75,0.78,0.85,0.75,0.69,0.81,0.70,0.74,0.59,1.16,0.68,,0.80,,,0.53,0.48,0.68,,,0.43,,,0.62,,,0.49,
LOI,4.13,,5.58,3.64,2.87,,,2.34,1.94,3.58,4.08,,3.53,2.71,1.98,3.21,3.49,3.40,3.62,2.85,4.88,4.66,3.39,3.03,3.67,2.43,3.08,2.46,4.24,3.00,1.32,3.56,3.26,2.59,3.83,1.72,1.66,3.00,1.30,2.01,3.20,2.66,2.77,2.07,2.20,2.03,2.11,1.86,3.61,0.71,,3.80,,,2.85,3.47,2.43,,,1.10,,,2.19,,,2.48,
Orig. sum,100.15,,99.91,99.68,99.81,,,99.89,99.60,99.63,99.83,,99.30,99.53,99.70,99.92,99.45,99.57,99.90,99.74,99.62,99.85,100.05,99.94,100.19,99.92,99.52,98.87,99.55,99.72,99.48,99.25,99.96,99.07,99.92,99.64,99.97,99.52,100.20,99.64,100.08,99.85,99.92,99.67,99.77,100.01,99.99,99.85,99.17,99.19,,99.54,,,99.91,99.71,100.04,,,99.73,,,99.59,,,100.13,
Mg#,51.7,,52.6,50.0,68.2,,,69.8,70.6,61.8,50.1,,72.5,55.3,57.5,47.4,69.2,49.8,66.7,53.1,66.6,50.0,73.4,52.9,43.1,66.3,44.1,58.6,47.8,42.6,57.1,41.1,45.8,42.4,40.7,61.8,66.9,36.9,62.8,44.8,48.0,44.6,52.2,48.4,48.5,52.1,46.4,62.8,45.5,48.8,,53.0,,,64.9,51.0,60.9,,,66.4,,,28.8,,,65.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trace element analyses (solution ICP-MS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca (wt %),11.47,11.53,12.50,,12.46,12.58,12.65,,11.40,,11.43,10.71,11.47,,,,,11.22,,,,12.17,10.25,,,11.91,9.64,,10.71,,,,,,9.26,11.24,11.70,8.13,9.99,,,9.67,,10.74,9.96,,,11.43,10.06,7.71,7.46,11.89,11.87,10.68,11.08,12.59,11.69,10.92,10.83,12.91,13.21,11.82,6.23,6.03,9.73,13.26,
Sc (ppm),30.6,30.3,29.9,,36.3,36.5,36.7,,34.5,,27.7,26.1,33.2,,,,,27.4,,,,28.0,33.0,,,35.7,20.0,,22.0,,,,,,18.9,28.9,34.5,19.2,27.6,,,18.8,,23.9,20.0,,,31.1,13.0,17.1,16.4,25.2,24.9,27.6,29.7,24.8,30.8,27.3,25.0,38.4,38.8,25.1,15.5,14.9,25.4,37.8,
V,275,288,282,,238,241,239,,232,,303,284,205,,,,,289,,,,309,207,,,249,275,,260,,,,,,285,248,263,231,252,,,293,,299,254,,,255,179,196,188,250,250,271,255,250,286,287,335,268,274,290,180,172,276,256,
Cr,507,536,555,,975,1004,1009,,1150,,375,358,1482,,,,,367,,,,377,1340,,,924,100,,278,,,,,,48.1,739,1036,188,604,,,40.5,,192,205,,,689,101,288,263,400,388,557,1013,337,650,136,114,984,1000,223,19.2,18.4,263,961,
Co,52.3,55.0,57.7,,67.5,68.7,69.1,,70.4,,54.1,51.0,80.5,,,,,52.4,,,,55.8,77.3,,,62.6,43.6,,56.3,,,,,,30.6,58.4,72.1,28.4,58.8,,,41.9,,51.0,45.1,,,58.9,33.4,36.8,35.1,53.0,52.9,58.2,57.2,54.6,60.4,45.0,49.8,69.1,70.0,48.4,25.6,24.7,48.0,72.5,
Ni,162,169,166,,297,309,311,,378,,147,138,504,,,,,135,,,,154,480,,,244,74.5,,123,,,,,,36.0,232,326,52.6,229,,,35.7,,102,84.3,,,236,33.9,98.4,94.8,178,179,207,264,140,225,84.8,71.1,284,278,92,13.4,13.3,120,342,
Cu,73.6,75.9,75.1,,80.0,80.8,80.4,,114,,56.1,52.3,98.0,,,,,70.3,,,,61.9,95.4,,,81.6,69.2,,66.3,,,,,,39.6,76.9,172,38.5,56.6,,,27.1,,66.1,44.6,,,90.6,25.5,16.8,17.9,95.3,92.0,83.3,87.3,59.0,74.4,73.1,67.5,86.4,87.8,66.7,24.9,25.3,69.1,94.8,
Zn,112,115,118,,88.9,91.6,90.1,,88.5,,128,120,92.0,,,,,116,,,,128,89.2,,,95.6,137,,122,,,,,,166,108,98.9,126,100,,,126,,116,133,,,101,123,107,102,113,112,106,87.2,92.5,109,111,131,99.4,100,116,111,110,121,105,
Ga,19.1,20.1,19.2,,14.8,15.1,15.2,,14.3,,23.4,21.9,12.6,,,,,20.5,,,,24.1,13.0,,,16.3,23.7,,22.9,,,,,,25.2,19.5,15.8,25.2,18.6,,,24.6,,22.2,25.2,,,17.9,23.8,24.1,23.0,21.1,21.1,18.9,16.3,21.0,19.4,21.4,23.5,17.1,17.5,21.4,24.7,24.7,22.6,16.8,
Rb,19.5,19.5,18.3,,15.8,16.0,16.0,,16.1,,11.9,11.2,12.8,,,,,22.2,,,,28.1,12.5,,,17.5,28.8,,30.3,,,,,,34.8,25.0,14.9,49.5,24.9,,,33.3,,26.2,38.1,,,17.7,55.8,62.2,60.5,21.9,21.7,18.1,18.2,15.8,16.9,20.4,25.5,17.4,17.4,24.0,69.8,69.8,22.5,16.0,
Sr,623,621,597,,446,448,450,,371,,817,778,419,,,,,646,,,,868,303,,,413,784,,814,,,,,,830,598,434,691,487,,,789,,689,786,,,722,2183,675,645,1121,1130,652,445,941,623,667,772,486,483,683,604,603,621,602,
Y,26.9,27.0,26.0,,20.0,20.2,20.3,,18.0,,32.6,30.7,16.9,,,,,27.7,,,,34.4,17.8,,,22.5,31.5,,31.8,,,,,,33.5,26.9,20.2,32.9,25.1,,,34.0,,30.4,36.9,,,25.0,38.2,32.7,31.6,29.9,29.6,24.3,20.8,21.6,26.2,29.9,31.6,23.1,23.4,28.5,34.7,35.2,30.0,22.6,
Zr,278,276,265,,196,197,197,,173,,364,345,162,,,,,289,,,,378,169,,,218,365,,380,,,,,,404,289,197,408,253,,,390,,331,423,,,276,486,385,377,348,342,263,195,201,240,305,328,228,233,303,376,375,312,237,
Nb,49.2,51.8,49.9,,35.4,35.5,36.2,,31.0,,71.2,67.5,29.2,,,,,54.0,,,,75.6,30.5,,,38.9,74.6,,73.5,,,,,,79.7,55.9,36.5,71.8,45.1,,,76.5,,65.6,85.7,,,54.5,113.9,65.1,62.8,75.2,73.7,49.8,36.7,40.8,49.3,58.6,68.6,43.6,44.2,58.1,56.8,56.3,61.5,49.0,
Mo,1.47,1.63,1.44,,1.18,1.23,1.23,,1.16,,1.82,1.73,0.854,,,,,1.68,,,,1.85,0.943,,,1.28,2.46,,3.48,,,,,,2.40,1.81,1.11,2.39,2.08,,,3.14,,1.91,3.96,,,1.77,3.34,2.73,2.52,3.37,3.42,1.11,1.26,0.714,1.68,1.63,1.92,1.28,1.29,2.09,2.43,2.37,1.73,1.44,
Cs,0.301,0.301,0.197,,0.345,0.349,0.353,,0.514,,1.06,0.995,0.544,,,,,0.438,,,,0.514,0.437,,,0.595,0.304,,0.542,,,,,,0.368,0.796,0.685,0.830,0.522,,,0.179,,0.270,0.227,,,0.845,1.48,1.36,1.32,2.24,2.23,0.778,1.07,0.304,0.509,0.153,0.250,0.443,0.457,0.238,1.58,1.62,0.452,0.166,
Ba,274,275,272,,212,212,214,,171,,378,358,159,,,,,281,,,,431,154,,,200,389,,414,,,,,,426,286,184,472,262,,,409,,315,435,,,386,978,508,483,831,835,265,204,246,287,298,355,230,233,326,572,562,290,257,
La,36.1,36.4,34.7,,25.7,25.5,25.5,,22.2,,49.7,46.7,20.8,,,,,38.0,,,,52.6,22.0,,,28.0,50.3,,51.8,,,,,,55.9,39.4,25.1,54.5,33.6,,,54.1,,45.0,60.7,,,38.7,79.0,54.3,52.5,53.0,51.8,34.3,27.4,29.2,36.1,41.2,46.8,30.5,31.2,41.4,54.7,55.0,42.1,34.5,
Ce,79.0,79.7,77.2,,57.8,56.3,56.8,,49.6,,107,102,45.8,,,,,83.4,,,,115,49.1,,,62.5,111,,112,,,,,,119,86.4,56.7,117,73.0,,,117,,98.3,131,,,84.6,164,115,111,111,110,75.2,61.2,63.6,80.0,90.6,102,68.6,68.7,90.9,113,113,92.2,75.0,
Pr,10.0,10.1,9.70,,7.36,7.23,7.25,,6.26,,13.4,12.6,5.89,,,,,10.5,,,,14.3,6.32,,,8.02,13.2,,13.7,,,,,,14.7,10.7,7.31,14.5,9.18,,,14.5,,12.3,15.9,,,10.3,19.7,13.9,13.5,13.6,13.5,9.57,7.77,8.04,10.1,11.1,12.7,8.58,8.81,11.3,13.8,14.0,11.3,9.34,
Nd,41.9,42.1,40.8,,30.8,30.4,30.9,,26.5,,54.8,52.0,25.1,,,,,44.0,,,,58.3,26.7,,,33.0,53.9,,56.0,,,,,,59.7,43.7,30.8,57.5,37.9,,,58.7,,50.0,63.7,,,42.1,76.4,54.8,53.2,54.9,53.6,39.5,32.4,34.0,42.2,46.0,51.9,36.0,36.5,46.3,54.2,55.0,46.3,38.4,
Sm,8.90,8.87,8.52,,6.79,6.53,6.64,,5.76,,11.1,10.5,5.43,,,,,9.08,,,,11.8,5.77,,,7.23,10.7,,11.0,,,,,,11.9,8.93,6.59,11.3,7.75,,,11.5,,10.2,12.5,,,8.61,14.3,10.7,10.4,10.8,10.6,8.20,6.77,7.06,8.89,9.52,10.6,7.55,7.83,9.59,10.4,10.8,9.38,7.86,
Eu,2.79,2.79,2.70,,2.12,2.08,2.09,,1.82,,3.46,3.25,1.72,,,,,2.85,,,,3.66,1.84,,,2.25,3.33,,3.39,,,,,,3.70,2.79,2.13,3.47,2.43,,,3.58,,3.17,3.84,,,2.68,4.34,3.11,3.05,3.40,3.29,2.58,2.13,2.46,2.87,3.00,3.37,2.42,2.46,3.00,2.95,3.03,2.97,2.47,
Gd,8.44,8.26,8.02,,6.44,6.14,6.23,,5.43,,10.2,9.61,5.12,,,,,8.58,,,,11.1,5.49,,,6.97,9.94,,9.97,,,,,,10.8,8.36,6.35,10.4,7.34,,,10.5,,9.25,11.4,,,7.95,12.4,9.61,9.93,10.2,9.43,7.44,6.26,6.69,8.34,8.85,10.2,7.20,7.43,9.01,9.87,10.2,8.94,7.36,
Tb,1.16,1.13,1.10,,0.881,0.850,0.865,,0.756,,1.38,1.30,0.711,,,,,1.18,,,,1.48,0.765,,,0.967,1.33,,1.35,,,,,,1.44,1.12,0.874,1.40,1.02,,,1.43,,1.28,1.53,,,1.07,1.65,1.33,1.31,1.31,1.27,1.03,0.869,0.912,1.12,1.24,1.34,0.987,1.01,1.23,1.34,1.36,1.22,0.980,
Dy,5.89,5.88,5.65,,4.54,4.44,4.39,,3.88,,7.04,6.70,3.64,,,,,6.03,,,,7.55,3.97,,,4.97,6.76,,6.85,,,,,,7.37,5.84,4.50,7.23,5.36,,,7.27,,6.51,7.87,,,5.42,8.27,6.82,6.68,6.62,6.44,5.31,4.47,4.68,5.80,6.48,6.82,5.06,5.18,6.27,6.95,7.18,6.34,4.96,
Ho,1.02,1.02,0.983,,0.777,0.762,0.765,,0.689,,1.22,1.16,0.632,,,,,1.06,,,,1.30,0.681,,,0.851,1.18,,1.18,,,,,,1.27,1.01,0.787,1.25,0.957,,,1.27,,1.14,1.38,,,0.936,1.44,1.21,1.20,1.14,1.11,0.918,0.779,0.815,0.988,1.11,1.19,0.871,0.885,1.09,1.26,1.28,1.13,0.843,
Er,2.60,2.56,2.48,,1.96,1.92,1.94,,1.72,,3.10,2.94,1.62,,,,,2.69,,,,3.34,1.73,,,2.18,3.02,,3.04,,,,,,3.20,2.57,1.95,3.22,2.49,,,3.25,,2.96,3.60,,,2.40,3.75,3.20,3.16,2.92,2.81,2.34,1.95,2.05,2.49,2.87,3.02,2.23,2.29,2.80,3.40,3.47,2.85,2.13,
Tm,0.315,0.322,0.303,,0.239,0.234,0.239,,0.216,,0.391,0.372,0.199,,,,,0.326,,,,0.411,0.214,,,0.266,0.370,,0.384,,,,,,0.401,0.321,0.242,0.399,0.310,,,0.405,,0.367,0.443,,,0.293,0.462,0.417,0.409,0.353,0.345,0.289,0.239,0.253,0.303,0.365,0.370,0.273,0.276,0.344,0.448,0.451,0.364,0.259,
Yb,1.88,1.89,1.78,,1.43,1.39,1.39,,1.27,,2.27,2.17,1.15,,,,,1.95,,,,2.42,1.26,,,1.59,2.20,,2.24,,,,,,2.36,1.88,1.39,2.41,1.89,,,2.40,,2.14,2.63,,,1.70,2.81,2.52,2.49,2.10,2.05,1.71,1.43,1.49,1.78,2.16,2.17,1.59,1.61,2.05,2.76,2.82,2.19,1.51,
Lu,0.264,0.257,0.249,,0.194,0.190,0.193,,0.180,,0.312,0.296,0.164,,,,,0.272,,,,0.341,0.177,,,0.221,0.305,,0.310,,,,,,0.329,0.262,0.193,0.336,0.270,,,0.333,,0.302,0.370,,,0.239,0.389,0.360,0.350,0.293,0.275,0.237,0.201,0.206,0.244,0.304,0.296,0.221,0.223,0.280,0.396,0.409,0.305,0.206,
Hf,6.60,6.58,6.37,,4.93,4.78,4.86,,4.27,,8.33,7.92,3.98,,,,,6.77,,,,8.83,4.16,,,5.39,8.15,,8.39,,,,,,8.96,6.64,4.94,9.32,5.99,,,8.69,,7.52,9.46,,,6.47,9.87,8.84,8.80,7.74,7.49,6.10,4.62,4.74,5.66,7.26,7.57,5.49,5.67,7.15,8.68,8.98,7.07,5.69,
Ta,3.13,3.31,3.23,,2.38,2.29,2.32,,2.03,,4.45,4.28,1.85,,,,,3.41,,,,4.88,2.00,,,2.53,4.64,,4.63,,,,,,5.09,3.58,2.44,4.52,2.96,,,4.90,,4.20,5.39,,,3.48,7.23,4.15,4.06,4.75,4.59,3.22,2.38,2.70,3.15,3.81,4.41,2.83,2.88,3.76,3.60,3.66,3.84,3.14,
Tl,0.009,0.009,0.010,,0.036,0.041,0.041,,0.062,,0.004,0.003,0.012,,,,,0.013,,,,0.007,0.005,,,0.009,0.016,,0.053,,,,,,0.026,0.017,0.030,0.075,0.125,,,0.032,,0.005,0.122,,,0.009,0.196,0.085,0.085,0.152,0.144,0.008,0.007,0.011,0.140,0.008,0.027,0.012,0.012,0.033,0.209,0.213,0.013,0.004,
Pb,2.17,2.44,2.39,,2.00,2.04,2.03,,2.24,,3.26,3.11,1.68,,,,,2.33,,,,3.28,1.59,,,2.01,3.42,,3.30,,,,,,3.92,2.94,2.18,7.22,2.48,,,3.68,,2.37,4.51,,,2.42,4.83,5.18,4.92,2.92,2.99,2.59,1.84,2.16,2.37,2.40,2.84,2.15,2.24,3.17,12.3,11.9,2.58,2.11,
Th,4.05,4.05,3.87,,3.00,2.87,2.90,,2.61,,5.55,5.24,2.30,,,,,4.22,,,,5.91,2.42,,,3.30,5.95,,5.84,,,,,,6.73,4.65,2.81,8.37,4.59,,,6.70,,5.15,7.63,,,4.49,9.95,9.49,9.29,5.92,5.73,3.79,3.08,2.91,3.62,4.57,5.01,3.40,3.52,4.84,9.89,10.3,4.59,3.84,
U,0.929,0.948,0.951,,0.845,0.795,0.809,,0.695,,1.51,1.42,0.561,,,,,1.15,,,,1.56,0.560,,,0.901,1.65,,1.69,,,,,,1.83,1.31,0.789,2.08,1.20,,,1.82,,1.39,2.16,,,1.24,2.92,2.39,2.35,1.72,1.68,0.979,0.738,0.773,1.01,1.34,1.39,0.921,0.964,1.32,2.47,2.56,1.24,1.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. bas = basalt; pbas = picrobasalt; basn = basanite; tbas = trachybasalt; btand = basaltic trachyandesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. # = replicate solution ICP-MS trace element analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
